Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
bin.50.pruned	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
bin.51.pruned	k__Bacteria (UID203)	5449	104	58	92	12	0	0	0	0	20.69	0.00	0.00
bin.52.pruned	k__Bacteria (UID203)	5449	104	58	102	2	0	0	0	0	3.45	0.00	0.00
bin.53.pruned	k__Bacteria (UID203)	5449	104	58	97	7	0	0	0	0	7.76	0.00	0.00
bin.54.pruned	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
bin.55.pruned	k__Bacteria (UID203)	5449	103	57	10	50	39	4	0	0	82.46	40.80	43.14
bin.56.pruned	k__Bacteria (UID203)	5449	104	58	81	23	0	0	0	0	36.03	0.00	0.00
bin.57.pruned	k__Bacteria (UID203)	5449	104	58	93	11	0	0	0	0	15.52	0.00	0.00
bin.58.pruned	o__Bacteroidales (UID2617)	213	406	265	107	298	1	0	0	0	72.94	0.38	0.00
bin.59.pruned	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
bin.6.pruned	c__Clostridia (UID1118)	387	223	124	117	106	0	0	0	0	53.15	0.00	0.00
bin.60.pruned	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
bin.61.pruned	o__Bacteroidales (UID2617)	213	406	265	232	174	0	0	0	0	42.14	0.00	0.00
bin.62.pruned	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
bin.63.pruned	f__Lachnospiraceae (UID1255)	90	354	174	29	317	7	1	0	0	91.48	4.71	0.00
bin.64.pruned	k__Bacteria (UID203)	5449	104	58	90	14	0	0	0	0	20.69	0.00	0.00
bin.65.pruned	k__Bacteria (UID203)	5449	104	58	78	26	0	0	0	0	34.14	0.00	0.00
bin.66.pruned	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
bin.67.pruned	o__Clostridiales (UID1212)	172	263	149	53	207	3	0	0	0	74.21	1.51	66.67
bin.68.pruned	p__Firmicutes (UID240)	1318	179	104	86	93	0	0	0	0	57.69	0.00	0.00
bin.69.pruned	k__Bacteria (UID203)	5449	104	58	92	12	0	0	0	0	17.24	0.00	0.00
bin.7.pruned	o__Bacteroidales (UID2617)	213	406	265	12	392	2	0	0	0	96.42	0.75	0.00
bin.70.pruned	o__Bacteroidales (UID2617)	213	406	265	81	324	1	0	0	0	77.61	0.38	0.00
bin.71.pruned	k__Bacteria (UID203)	5449	104	58	87	17	0	0	0	0	25.86	0.00	0.00
bin.72.pruned	k__Bacteria (UID203)	5449	104	58	95	9	0	0	0	0	13.79	0.00	0.00
bin.73.pruned	k__Bacteria (UID203)	5449	104	58	103	1	0	0	0	0	1.72	0.00	0.00
bin.74.pruned	f__Lachnospiraceae (UID1255)	90	354	174	51	297	6	0	0	0	86.45	2.87	0.00
bin.75.pruned	k__Bacteria (UID203)	5449	104	58	2	11	21	25	24	21	99.69	190.49	19.18
bin.76.pruned	o__Bacteroidales (UID2617)	213	406	265	125	281	0	0	0	0	66.48	0.00	0.00
bin.77.pruned	f__Lachnospiraceae (UID1255)	90	354	174	105	246	3	0	0	0	75.09	1.72	0.00
bin.78.pruned	k__Bacteria (UID203)	5449	104	58	73	31	0	0	0	0	48.28	0.00	0.00
bin.79.pruned	p__Bacteroidetes (UID2605)	350	314	208	13	301	0	0	0	0	96.39	0.00	0.00
bin.8.pruned	o__Clostridiales (UID1212)	172	263	149	64	192	7	0	0	0	75.13	0.46	0.00
bin.80.pruned	c__Clostridia (UID1118)	387	223	124	90	131	2	0	0	0	52.10	0.29	50.00
bin.81.pruned	o__Bacteroidales (UID2617)	213	406	265	85	321	0	0	0	0	74.34	0.00	0.00
bin.82.pruned	k__Bacteria (UID2328)	3167	126	75	47	79	0	0	0	0	81.81	0.00	0.00
bin.83.pruned	f__Lachnospiraceae (UID1255)	90	354	174	41	308	5	0	0	0	87.32	1.40	0.00
bin.84.pruned	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
bin.85.pruned	root (UID1)	5656	56	24	54	2	0	0	0	0	8.33	0.00	0.00
bin.86.pruned	f__Lachnospiraceae (UID1256)	33	333	171	95	235	3	0	0	0	77.53	0.41	33.33
bin.87.pruned	f__Lachnospiraceae (UID1255)	90	354	174	8	342	4	0	0	0	96.44	1.82	25.00
bin.9.pruned	k__Bacteria (UID203)	5449	104	58	86	18	0	0	0	0	23.79	0.00	0.00
