id	name	bounds	flux_expression	id_reaction_str	name_reaction_str
rxn06435_c	L-Cysteine:tRNA(Cys) ligase (AMP-forming)	(-1000.0, 1000.0)	1.0*rxn06435_c - 1.0*rxn06435_c_reverse_93032	cpd00002_c + cpd00084_c + 0.05 cpd17043_c <=> cpd00012_c + cpd00018_c + cpd00067_c + cpd12255_c	ATP + L-Cysteine + 0.05 RNA transcription <=> PPi + AMP + H+ + Cysteinyl-tRNA
rxn06437_c	L-Glutamine:tRNA(Gln) ligase (AMP-forming)	(-1000.0, 1000.0)	1.0*rxn06437_c - 1.0*rxn06437_c_reverse_d52b5	cpd00002_c + cpd00053_c + 0.05 cpd17043_c <=> cpd00012_c + cpd00018_c + cpd00067_c + cpd12060_c	ATP + L-Glutamine + 0.05 RNA transcription <=> PPi + AMP + H+ + L-Glutaminyl-tRNA
rxn06436_c	L-Glutamate:tRNA(Gln) ligase (AMP-forming)	(-1000.0, 1000.0)	1.0*rxn06436_c - 1.0*rxn06436_c_reverse_428cc	cpd00002_c + cpd00023_c + 0.05 cpd17043_c <=> cpd00012_c + cpd00018_c + cpd00067_c + cpd12828_c	ATP + L-Glutamate + 0.05 RNA transcription <=> PPi + AMP + H+ + L-Glutamyl-tRNA
rxn06438_c	glycine:tRNA(Gly) ligase (AMP-forming)	(-1000.0, 1000.0)	1.0*rxn06438_c - 1.0*rxn06438_c_reverse_7068d	cpd00002_c + cpd00033_c + 0.05 cpd17043_c <=> cpd00012_c + cpd00018_c + cpd00067_c + cpd12100_c	ATP + Glycine + 0.05 RNA transcription <=> PPi + AMP + H+ + Glycyl-tRNA
rxn06439_c	L-Histidine:tRNA(His) ligase (AMP-forming)	(-1000.0, 1000.0)	1.0*rxn06439_c - 1.0*rxn06439_c_reverse_ec43d	cpd00002_c + cpd00119_c + 0.05 cpd17043_c <=> cpd00012_c + cpd00018_c + cpd00067_c + cpd12228_c	ATP + L-Histidine + 0.05 RNA transcription <=> PPi + AMP + H+ + L-Histidyl-tRNA
rxn06440_c	L-Isoleucine:tRNA(Ile) ligase (AMP-forming)	(-1000.0, 1000.0)	1.0*rxn06440_c - 1.0*rxn06440_c_reverse_6d871	cpd00002_c + cpd00322_c + 0.05 cpd17043_c <=> cpd00012_c + cpd00018_c + cpd00067_c + cpd12256_c	ATP + L-Isoleucine + 0.05 RNA transcription <=> PPi + AMP + H+ + L-Isoleucyl-tRNA
rxn06441_c	L-Leucine:tRNA(Leu) ligase (AMP-forming)	(-1000.0, 1000.0)	1.0*rxn06441_c - 1.0*rxn06441_c_reverse_bba87	cpd00002_c + cpd00107_c + 0.05 cpd17043_c <=> cpd00012_c + cpd00018_c + cpd00067_c + cpd12003_c	ATP + L-Leucine + 0.05 RNA transcription <=> PPi + AMP + H+ + Leucyl-tRNA
rxn06442_c	L-Lysine:tRNALys ligase (AMP-forming)	(-1000.0, 1000.0)	1.0*rxn06442_c - 1.0*rxn06442_c_reverse_fc758	cpd00002_c + cpd00039_c + 0.05 cpd17043_c <=> cpd00012_c + cpd00018_c + cpd00067_c + cpd01326_c	ATP + L-Lysine + 0.05 RNA transcription <=> PPi + AMP + H+ + L-Lysyl-tRNA
rxn06443_c	L-Methionine:tRNAMet ligase (AMP-forming)	(-1000.0, 1000.0)	1.0*rxn06443_c - 1.0*rxn06443_c_reverse_53e6a	cpd00002_c + cpd00060_c + 0.05 cpd17043_c <=> cpd00012_c + cpd00018_c + cpd00067_c + cpd12105_c	ATP + L-Methionine + 0.05 RNA transcription <=> PPi + AMP + H+ + Methionyl-tRNA
rxn06444_c	L-Phenylalanine:tRNA(Ala) ligase (AMP-forming)	(-1000.0, 1000.0)	1.0*rxn06444_c - 1.0*rxn06444_c_reverse_88ffc	cpd00002_c + cpd00066_c + 0.05 cpd17043_c <=> cpd00012_c + cpd00018_c + cpd00067_c + cpd12335_c	ATP + L-Phenylalanine + 0.05 RNA transcription <=> PPi + AMP + H+ + Phenylalanyl-tRNA
rxn06445_c	L-proline:tRNA(Pro) ligase (AMP-forming)	(-1000.0, 1000.0)	1.0*rxn06445_c - 1.0*rxn06445_c_reverse_03cb4	cpd00002_c + cpd00129_c + 0.05 cpd17043_c <=> cpd00012_c + cpd00018_c + cpd00067_c + cpd12164_c	ATP + L-Proline + 0.05 RNA transcription <=> PPi + AMP + H+ + L-Prolyl-tRNA
rxn06446_c	L-Serine:tRNA(Ser) ligase (AMP-forming)	(-1000.0, 1000.0)	1.0*rxn06446_c - 1.0*rxn06446_c_reverse_cdbd7	cpd00002_c + cpd00054_c + 0.05 cpd17043_c <=> cpd00012_c + cpd00018_c + cpd00067_c + cpd12132_c	ATP + L-Serine + 0.05 RNA transcription <=> PPi + AMP + H+ + L-Seryl-tRNA
rxn06447_c	L-Threonine:tRNA(Thr) ligase (AMP-forming)	(-1000.0, 1000.0)	1.0*rxn06447_c - 1.0*rxn06447_c_reverse_e8588	cpd00002_c + cpd00161_c + 0.05 cpd17043_c <=> cpd00012_c + cpd00018_c + cpd00067_c + cpd12229_c	ATP + L-Threonine + 0.05 RNA transcription <=> PPi + AMP + H+ + Threonyl-tRNA
rxn06448_c	L-Tryptophan -tRNA(Trp) ligase (AMP-forming)	(-1000.0, 1000.0)	1.0*rxn06448_c - 1.0*rxn06448_c_reverse_13644	cpd00002_c + cpd00065_c + 0.05 cpd17043_c <=> cpd00012_c + cpd00018_c + cpd00067_c + cpd12336_c	ATP + L-Tryptophan + 0.05 RNA transcription <=> PPi + AMP + H+ + L-Tryptophanyl-tRNA
rxn06280_c	L-Tyrosine:tRNA(Tyr) ligase (AMP-forming)	(-1000.0, 1000.0)	1.0*rxn06280_c - 1.0*rxn06280_c_reverse_86071	cpd00002_c + cpd00069_c + 0.05 cpd17043_c <=> cpd00012_c + cpd00018_c + cpd00067_c + cpd12194_c	ATP + L-Tyrosine + 0.05 RNA transcription <=> PPi + AMP + H+ + L-Tyrosyl-tRNA
rxn06449_c	L-Valine:tRNAVal ligase (AMP-forming)	(-1000.0, 1000.0)	1.0*rxn06449_c - 1.0*rxn06449_c_reverse_bee8e	cpd00002_c + cpd00156_c + 0.05 cpd17043_c <=> cpd00012_c + cpd00018_c + cpd00067_c + cpd12133_c	ATP + L-Valine + 0.05 RNA transcription <=> PPi + AMP + H+ + L-Valyl-tRNA
protein_rxn	Protein biosynthesis	(0.0, 1000.0)	1.0*protein_rxn - 1.0*protein_rxn_reverse_ddaf0	cpd00001_c + 20.0 cpd00002_c + 0.457 cpd01326_c + 0.264 cpd11770_c + 0.455 cpd12003_c + 0.16 cpd12036_c + 0.12 cpd12060_c + 0.314 cpd12100_c + 0.135 cpd12105_c + 0.331 cpd12132_c + 0.328 cpd12133_c + 0.137 cpd12164_c + 0.208 cpd12194_c + 0.286 cpd12226_c + 0.068 cpd12228_c + 0.248 cpd12229_c + 0.062 cpd12255_c + 0.498 cpd12256_c + 0.322 cpd12313_c + 0.219 cpd12335_c + 0.032 cpd12336_c + 0.367 cpd12828_c --> 20.0 cpd00008_c + 20.0 cpd00009_c + cpd17041_c	H2O + 20.0 ATP + 0.457 L-Lysyl-tRNA + 0.264 L-Alanyl-tRNA + 0.455 Leucyl-tRNA + 0.16 L-Arginyl-tRNA + 0.12 L-Glutaminyl-tRNA + 0.314 Glycyl-tRNA + 0.135 Methionyl-tRNA + 0.331 L-Seryl-tRNA + 0.328 L-Valyl-tRNA + 0.137 L-Prolyl-tRNA + 0.208 L-Tyrosyl-tRNA + 0.286 L-Aspartyl-tRNA + 0.068 L-Histidyl-tRNA + 0.248 Threonyl-tRNA + 0.062 Cysteinyl-tRNA + 0.498 L-Isoleucyl-tRNA + 0.322 L-Asparagyl-tRNA + 0.219 Phenylalanyl-tRNA + 0.032 L-Tryptophanyl-tRNA + 0.367 L-Glutamyl-tRNA --> 20.0 ADP + 20.0 Phosphate + Protein biosynthesis
dna_rxn	DNA replication	(0.0, 1000.0)	1.0*dna_rxn - 1.0*dna_rxn_reverse_a01a6	cpd00001_c + 2.0 cpd00002_c + 0.5 cpd00115_c + 0.308 cpd00241_c + 0.176 cpd00356_c + 0.454 cpd00357_c --> 2.0 cpd00008_c + 2.0 cpd00009_c + cpd00012_c + cpd17042_c	H2O + 2.0 ATP + 0.5 dATP + 0.308 dGTP + 0.176 dCTP + 0.454 TTP --> 2.0 ADP + 2.0 Phosphate + PPi + DNA replication
rna_rxn	RNA transcription	(0.0, 1000.0)	1.0*rna_rxn - 1.0*rna_rxn_reverse_76ed6	cpd00001_c + 1.389 cpd00002_c + 0.141 cpd00038_c + 0.237 cpd00052_c + 0.5 cpd00062_c --> 2.0 cpd00008_c + 2.0 cpd00009_c + cpd00012_c + cpd17043_c	H2O + 1.389 ATP + 0.141 GTP + 0.237 CTP + 0.5 UTP --> 2.0 ADP + 2.0 Phosphate + PPi + RNA transcription
