Entry	Entry_name	Status	Protein_names	Gene_names	EC_number	Cross-reference_(CCDS)	Cross-reference_(RefSeq)	Cross-reference_(KEGG)	Cross-reference_(PATRIC)
C9YJD2	C9YJD2_CLODR	unreviewed	Probable_tRNA_sulfurtransferase_(EC_2.8.1.4)_(Sulfur_carrier_protein_ThiS_sulfurtransferase)_(Thiamine_biosynthesis_protein_ThiI)_(tRNA_4-thiouridine_synthase)	thiI_CDR20291_0682	2.8.1.4			cdl:CDR20291_0682	
C9YPK4	C9YPK4_CLODR	unreviewed	Glycerol-3-phosphate_dehydrogenase_[NAD(P)+]_(EC_1.1.1.94)_(NAD(P)H-dependent_glycerol-3-phosphate_dehydrogenase)	glyC_gpsA_CDR20291_2518	1.1.1.94			cdl:CDR20291_2518	
C9YSE6	C9YSE6_CLODR	unreviewed	Adenylosuccinate_synthetase_(AMPSase)_(AdSS)_(EC_6.3.4.4)_(IMP--aspartate_ligase)	purA_CDR20291_3514	6.3.4.4			cdl:CDR20291_3514	
C9YLZ3	C9YLZ3_CLODR	unreviewed	GTP_cyclohydrolase-2_(EC_3.5.4.25)_(GTP_cyclohydrolase_II)	ribA_CDR20291_1596	3.5.4.25			cdl:CDR20291_1596	
C9YKL9	C9YKL9_CLODR	unreviewed	tRNA-specific_2-thiouridylase_MnmA_(EC_2.8.1.13)	trmU_mnmA_CDR20291_1121	2.8.1.13			cdl:CDR20291_1121	
C9YNI0	C9YNI0_CLODR	unreviewed	N-acetylneuraminate_lyase_(NAL)_(Neu5Ac_lyase)_(EC_4.1.3.3)_(N-acetylneuraminate_pyruvate-lyase)_(N-acetylneuraminic_acid_aldolase)_(Sialate_lyase)_(Sialic_acid_aldolase)_(Sialic_acid_lyase)	nanA_CDR20291_2139	4.1.3.3			cdl:CDR20291_2139	
C9YSC0	C9YSC0_CLODR	unreviewed	4-hydroxy-tetrahydrodipicolinate_synthase_(HTPA_synthase)_(EC_4.3.3.7)	dapA_CDR20291_3488	4.3.3.7			cdl:CDR20291_3488	
C9YLB0	C9YLB0_CLODR	unreviewed	3-methyl-2-oxobutanoate_hydroxymethyltransferase_(EC_2.1.2.11)_(Ketopantoate_hydroxymethyltransferase)_(KPHMT)	panB_CDR20291_1362	2.1.2.11			cdl:CDR20291_1362	
C9YLN7	C9YLN7_CLODR	unreviewed	Potassium-transporting_ATPase_ATP-binding_subunit_(EC_7.2.2.6)_(ATP_phosphohydrolase_[potassium-transporting]_B_chain)_(Potassium-binding_and_translocating_subunit_B)_(Potassium-translocating_ATPase_B_chain)	kdpB_CDR20291_1490	7.2.2.6			cdl:CDR20291_1490	
C9YJ98	C9YJ98_CLODR	unreviewed	Bifunctional_protein_FolD_[Includes:_Methylenetetrahydrofolate_dehydrogenase_(EC_1.5.1.5);_Methenyltetrahydrofolate_cyclohydrolase_(EC_3.5.4.9)]	folD_CDR20291_0647	1.5.1.5;_3.5.4.9			cdl:CDR20291_0647	
C9YQ75	C9YQ75_CLODR	unreviewed	Multifunctional_fusion_protein_[Includes:_2-aminoethylphosphonate--pyruvate_transaminase_(EC_2.6.1.37)_(2-aminoethylphosphonate_aminotransferase)_(AEP_transaminase)_(AEPT);_Phosphonoacetaldehyde_hydrolase_(Phosphonatase)_(EC_3.11.1.1)_(Phosphonoacetaldehyde_phosphonohydrolase)]	phnW_phnX_CDR20291_2740	2.6.1.37;_3.11.1.1			cdl:CDR20291_2740	
C9YMA9	C9YMA9_CLODR	unreviewed	4-hydroxy-3-methylbut-2-enyl_diphosphate_reductase_(HMBPP_reductase)_(EC_1.17.7.4)	ispH_CDR20291_1713	1.17.7.4			cdl:CDR20291_1713	
C9YM05	C9YM05_CLODR	unreviewed	Probable_molybdenum_cofactor_guanylyltransferase_(MoCo_guanylyltransferase)_(EC_2.7.7.77)_(GTP:molybdopterin_guanylyltransferase)_(Mo-MPT_guanylyltransferase)_(Molybdopterin_guanylyltransferase)_(Molybdopterin-guanine_dinucleotide_synthase)_(MGD_synthase)	mobA_CDR20291_1608	2.7.7.77			cdl:CDR20291_1608	
C9YNB3	C9YNB3_CLODR	unreviewed	Multifunctional_fusion_protein_[Includes:_Peptide_methionine_sulfoxide_reductase_MsrA_(Protein-methionine-S-oxide_reductase)_(EC_1.8.4.11)_(Peptide-methionine_(S)-S-oxide_reductase)_(Peptide_Met(O)_reductase);_Peptide_methionine_sulfoxide_reductase_MsrB_(EC_1.8.4.12)_(Peptide-methionine_(R)-S-oxide_reductase)]	msrAB_msrA_msrB_CDR20291_2072	1.8.4.11;_1.8.4.12			cdl:CDR20291_2072	
C9YPT1	C9YPT1_CLODR	unreviewed	Shikimate_dehydrogenase_(NADP(+))_(SDH)_(EC_1.1.1.25)	ydiB_aroE_CDR20291_2596	1.1.1.25			cdl:CDR20291_2596	
C9YMC4	C9YMC4_CLODR	unreviewed	3-dehydroquinate_synthase_(DHQS)_(EC_4.2.3.4)	aroB_CDR20291_1728	4.2.3.4			cdl:CDR20291_1728	
C9YMC9	C9YMC9_CLODR	unreviewed	Shikimate_kinase_(SK)_(EC_2.7.1.71)	aroK_CDR20291_1733	2.7.1.71			cdl:CDR20291_1733	
C9YLE8	C9YLE8_CLODR	unreviewed	Imidazole_glycerol_phosphate_synthase_subunit_HisH_(EC_4.3.2.10)_(IGP_synthase_glutaminase_subunit)_(EC_3.5.1.2)_(IGP_synthase_subunit_HisH)_(ImGP_synthase_subunit_HisH)_(IGPS_subunit_HisH)	hisH_CDR20291_1400	4.3.2.10;_3.5.1.2			cdl:CDR20291_1400	
C9YN86	C9YN86_CLODR	unreviewed	Uridylate_kinase_(UK)_(EC_2.7.4.22)_(Uridine_monophosphate_kinase)_(UMP_kinase)_(UMPK)	pyrH_CDR20291_2045	2.7.4.22			cdl:CDR20291_2045	
C9YP40	C9YP40_CLODR	unreviewed	Chaperone_protein_DnaJ	dnaJ_CDR20291_2353				cdl:CDR20291_2353	
C9YRF2	C9YRF2_CLODR	unreviewed	DNA_ligase_(EC_6.5.1.2)_(Polydeoxyribonucleotide_synthase_[NAD(+)])	dnaL_ligA_CDR20291_3170	6.5.1.2			cdl:CDR20291_3170	
C9YPC9	C9YPC9_CLODR	unreviewed	Phosphopantetheine_adenylyltransferase_(EC_2.7.7.3)_(Dephospho-CoA_pyrophosphorylase)_(Pantetheine-phosphate_adenylyltransferase)_(PPAT)	coaD_CDR20291_2443	2.7.7.3			cdl:CDR20291_2443	
C9YJ62	C9YJ62_CLODR	unreviewed	ATP-dependent_zinc_metalloprotease_FtsH_(EC_3.4.24.-)	ftsH_CDR20291_0610	3.4.24.-			cdl:CDR20291_0610	
C9YKX6	C9YKX6_CLODR	unreviewed	Glycerol_kinase_(EC_2.7.1.30)_(ATP:glycerol_3-phosphotransferase)_(Glycerokinase)_(GK)	glpK2_glpK_CDR20291_1228	2.7.1.30			cdl:CDR20291_1228	
C9YRE4	C9YRE4_CLODR	unreviewed	Lon_protease_(EC_3.4.21.53)_(ATP-dependent_protease_La)	lon_CDR20291_3162	3.4.21.53			cdl:CDR20291_3162	
C9YKL2	C9YKL2_CLODR	unreviewed	DNA_topoisomerase_1_(EC_5.6.2.1)_(DNA_topoisomerase_I)	topA_CDR20291_1114	5.6.2.1			cdl:CDR20291_1114	
C9YS61	C9YS61_CLODR	unreviewed	Carbamoyl-phosphate_synthase_small_chain_(EC_6.3.5.5)_(Carbamoyl-phosphate_synthetase_glutamine_chain)	pyrAA2_carA_CDR20291_3429	6.3.5.5			cdl:CDR20291_3429	
C9YR10	C9YR10_CLODR	unreviewed	Triosephosphate_isomerase_(TIM)_(TPI)_(EC_5.3.1.1)_(Triose-phosphate_isomerase)	tpi_tpiA_CDR20291_3028	5.3.1.1			cdl:CDR20291_3028	
C9YLS1	C9YLS1_CLODR	unreviewed	D-alanine--D-alanine_ligase_(EC_6.3.2.4)_(D-Ala-D-Ala_ligase)_(D-alanylalanine_synthetase)	vanG_ddl_CDR20291_1524	6.3.2.4			cdl:CDR20291_1524	
C9YL30	C9YL30_CLODR	unreviewed	Peroxiredoxin_(EC_1.11.1.15)_(Thioredoxin_peroxidase)	CDR20291_1282	1.11.1.15			cdl:CDR20291_1282	
C9YLP6	C9YLP6_CLODR	unreviewed	Thiamine-phosphate_synthase_(TP_synthase)_(TPS)_(EC_2.5.1.3)_(Thiamine-phosphate_pyrophosphorylase)_(TMP_pyrophosphorylase)_(TMP-PPase)	thiE1_thiE_CDR20291_1499	2.5.1.3			cdl:CDR20291_1499	
C9YQ26	C9YQ26_CLODR	unreviewed	Queuine_tRNA-ribosyltransferase_(EC_2.4.2.29)_(Guanine_insertion_enzyme)_(tRNA-guanine_transglycosylase)	tgt_CDR20291_2691	2.4.2.29			cdl:CDR20291_2691	
C9YHH6	C9YHH6_CLODR	unreviewed	DNA_integrity_scanning_protein_DisA_(Cyclic_di-AMP_synthase)_(c-di-AMP_synthase)_(Diadenylate_cyclase)_(EC_2.7.7.85)	disA_CDR20291_0017	2.7.7.85			cdl:CDR20291_0017	
C9YJZ5	C9YJZ5_CLODR	unreviewed	ATP-dependent_helicase/deoxyribonuclease_subunit_B_(EC_3.1.-.-)_(EC_3.6.4.12)_(ATP-dependent_helicase/nuclease_AddB)	addB_CDR20291_0896	3.1.-.-;_3.6.4.12			cdl:CDR20291_0896	
C9YR65	C9YR65_CLODR	unreviewed	4-hydroxy-tetrahydrodipicolinate_synthase_(HTPA_synthase)_(EC_4.3.3.7)	dapA_dapA1_CDR20291_3083	4.3.3.7			cdl:CDR20291_3083	
C9YR67	C9YR67_CLODR	unreviewed	4-hydroxy-tetrahydrodipicolinate_synthase_(HTPA_synthase)_(EC_4.3.3.7)	dapA_dapA2_CDR20291_3085	4.3.3.7			cdl:CDR20291_3085	
C9YHK2	C9YHK2_CLODR	unreviewed	Thymidylate_synthase_(TS)_(TSase)_(EC_2.1.1.45)	thyA_CDR20291_0043	2.1.1.45			cdl:CDR20291_0043	
C9YKI5	C9YKI5_CLODR	unreviewed	Ribonuclease_3_(EC_3.1.26.3)_(Ribonuclease_III)_(RNase_III)	rnc_CDR20291_1087	3.1.26.3			cdl:CDR20291_1087	
C9YHJ6	C9YHJ6_CLODR	unreviewed	2-C-methyl-D-erythritol_2,4-cyclodiphosphate_synthase_(MECDP-synthase)_(MECPP-synthase)_(MECPS)_(EC_4.6.1.12)	ispF_CDR20291_0037	4.6.1.12			cdl:CDR20291_0037	
C9YPI8	C9YPI8_CLODR	unreviewed	Isoleucine--tRNA_ligase_(EC_6.1.1.5)_(Isoleucyl-tRNA_synthetase)_(IleRS)	ileS_CDR20291_2502	6.1.1.5			cdl:CDR20291_2502	
C9YLA9	C9YLA9_CLODR	unreviewed	Pantothenate_synthetase_(PS)_(EC_6.3.2.1)_(Pantoate--beta-alanine_ligase)_(Pantoate-activating_enzyme)	panC_CDR20291_1361	6.3.2.1			cdl:CDR20291_1361	
C9YJH5	C9YJH5_CLODR	unreviewed	NH(3)-dependent_NAD(+)_synthetase_(EC_6.3.1.5)	nadE_CDR20291_0725	6.3.1.5			cdl:CDR20291_0725	
C9YN78	C9YN78_CLODR	unreviewed	1-deoxy-D-xylulose_5-phosphate_reductoisomerase_(DXP_reductoisomerase)_(EC_1.1.1.267)_(1-deoxyxylulose-5-phosphate_reductoisomerase)_(2-C-methyl-D-erythritol_4-phosphate_synthase)	dxr_CDR20291_2037	1.1.1.267			cdl:CDR20291_2037	
C9YSG8	C9YSG8_CLODR	unreviewed	tRNA_modification_GTPase_MnmE_(EC_3.6.-.-)	mnmE_trmE_CDR20291_3536	3.6.-.-			cdl:CDR20291_3536	
C9YPG3	C9YPG3_CLODR	unreviewed	Diaminopimelate_epimerase_(DAP_epimerase)_(EC_5.1.1.7)_(PLP-independent_amino_acid_racemase)	dapF_CDR20291_2477	5.1.1.7			cdl:CDR20291_2477	
C9YNL4	C9YNL4_CLODR	unreviewed	DNA_topoisomerase_3_(EC_5.6.2.1)_(DNA_topoisomerase_III)	topB_CDR20291_2173	5.6.2.1			cdl:CDR20291_2173	
C9YKE4	C9YKE4_CLODR	unreviewed	1-deoxy-D-xylulose-5-phosphate_synthase_(EC_2.2.1.7)_(1-deoxyxylulose-5-phosphate_synthase)_(DXP_synthase)_(DXPS)	dxs_CDR20291_1045	2.2.1.7			cdl:CDR20291_1045	
C9YR09	C9YR09_CLODR	unreviewed	2,3-bisphosphoglycerate-independent_phosphoglycerate_mutase_(BPG-independent_PGAM)_(Phosphoglyceromutase)_(iPGM)_(EC_5.4.2.12)	gpmI_CDR20291_3027	5.4.2.12			cdl:CDR20291_3027	
C9YMC5	C9YMC5_CLODR	unreviewed	3-phosphoshikimate_1-carboxyvinyltransferase_(EC_2.5.1.19)_(5-enolpyruvylshikimate-3-phosphate_synthase)_(EPSP_synthase)_(EPSPS)	aroA_CDR20291_1729	2.5.1.19			cdl:CDR20291_1729	
C9YLS3	C9YLS3_CLODR	unreviewed	Alanine_racemase_(EC_5.1.1.1)	vanTG_CDR20291_1526	5.1.1.1			cdl:CDR20291_1526	
C9YJS0	C9YJS0_CLODR	unreviewed	Polyamine_aminopropyltransferase_(Putrescine_aminopropyltransferase)_(PAPT)_(Spermidine_synthase)_(SPDS)_(SPDSY)_(EC_2.5.1.16)	speE_CDR20291_0820	2.5.1.16			cdl:CDR20291_0820	
C9YL03	C9YL03_CLODR	unreviewed	D-alanine--D-alanine_ligase_(EC_6.3.2.4)_(D-Ala-D-Ala_ligase)_(D-alanylalanine_synthetase)	ddl_CDR20291_1255	6.3.2.4			cdl:CDR20291_1255	
C9YMB6	C9YMB6_CLODR	unreviewed	Homoserine_O-acetyltransferase_(HAT)_(EC_2.3.1.31)_(Homoserine_transacetylase)_(HTA)	metA_metAA_CDR20291_1720	2.3.1.31			cdl:CDR20291_1720	
C9YRU7	C9YRU7_CLODR	unreviewed	Uracil_phosphoribosyltransferase_(EC_2.4.2.9)_(UMP_pyrophosphorylase)_(UPRTase)	upp_CDR20291_3315	2.4.2.9			cdl:CDR20291_3315	
C9YMQ1	C9YMQ1_CLODR	unreviewed	Acetyl-coenzyme_A_carboxylase_carboxyl_transferase_subunit_beta_(ACCase_subunit_beta)_(Acetyl-CoA_carboxylase_carboxyltransferase_subunit_beta)_(EC_2.1.3.15)	accD_CDR20291_1860	2.1.3.15			cdl:CDR20291_1860	
C9YHJ9	C9YHJ9_CLODR	unreviewed	Glutamate--tRNA_ligase_(EC_6.1.1.17)_(Glutamyl-tRNA_synthetase)_(GluRS)	gltX_CDR20291_0040	6.1.1.17			cdl:CDR20291_0040	
C9YRU1	C9YRU1_CLODR	unreviewed	ATP_synthase_subunit_c_(ATP_synthase_F(0)_sector_subunit_c)_(F-type_ATPase_subunit_c)_(F-ATPase_subunit_c)_(Lipid-binding_protein)	atpE_CDR20291_3309				cdl:CDR20291_3309	
C9YPX8	C9YPX8_CLODR	unreviewed	Phosphoenolpyruvate-protein_phosphotransferase_(EC_2.7.3.9)_(Phosphotransferase_system,_enzyme_I)	ptsI_CDR20291_2643	2.7.3.9			cdl:CDR20291_2643	
C9YJR9	C9YJR9_CLODR	unreviewed	S-adenosylmethionine_decarboxylase_proenzyme_(AdoMetDC)_(SAMDC)_(EC_4.1.1.50)_[Cleaved_into:_S-adenosylmethionine_decarboxylase_beta_chain;_S-adenosylmethionine_decarboxylase_alpha_chain]	speD_speH_CDR20291_0819	4.1.1.50			cdl:CDR20291_0819	
C9YQ79	C9YQ79_CLODR	unreviewed	D-alanine--D-alanyl_carrier_protein_ligase_(DCL)_(EC_6.2.1.54)_(D-alanine--poly(phosphoribitol)_ligase_subunit_1)_(D-alanine-activating_enzyme)_(DAE)	dltA_CDR20291_2744	6.2.1.54			cdl:CDR20291_2744	
C9YHW0	C9YHW0_CLODR	unreviewed	tRNA_N6-adenosine_threonylcarbamoyltransferase_(EC_2.3.1.234)_(N6-L-threonylcarbamoyladenine_synthase)_(t(6)A_synthase)_(t(6)A37_threonylcarbamoyladenosine_biosynthesis_protein_TsaD)_(tRNA_threonylcarbamoyladenosine_biosynthesis_protein_TsaD)	tsaD_gcp_CDR20291_0151	2.3.1.234			cdl:CDR20291_0151	
C9YPF9	C9YPF9_CLODR	unreviewed	Coenzyme_A_biosynthesis_bifunctional_protein_CoaBC_(EC_4.1.1.36)_(EC_6.3.2.5)_(DNA/pantothenate_metabolism_flavoprotein)	coaBC_CDR20291_2473	4.1.1.36;_6.3.2.5			cdl:CDR20291_2473	
C9YK04	C9YK04_CLODR	unreviewed	NAD_kinase_(EC_2.7.1.23)_(ATP-dependent_NAD_kinase)	nadK_CDR20291_0905	2.7.1.23			cdl:CDR20291_0905	
C9YS58	C9YS58_CLODR	unreviewed	Carbamoyl-phosphate_synthase_large_chain_(EC_6.3.5.5)_(Carbamoyl-phosphate_synthetase_ammonia_chain)	pyrAB1_carB_CDR20291_3426	6.3.5.5			cdl:CDR20291_3426	
C9YI24	C9YI24_CLODR	unreviewed	Amidophosphoribosyltransferase_(ATase)_(EC_2.4.2.14)_(Glutamine_phosphoribosylpyrophosphate_amidotransferase)_(GPATase)	purF_CDR20291_0217	2.4.2.14			cdl:CDR20291_0217	
C9YS60	C9YS60_CLODR	unreviewed	Carbamoyl-phosphate_synthase_large_chain_(EC_6.3.5.5)_(Carbamoyl-phosphate_synthetase_ammonia_chain)	pyrAB2_carB_CDR20291_3428	6.3.5.5			cdl:CDR20291_3428	
C9YS59	C9YS59_CLODR	unreviewed	Carbamoyl-phosphate_synthase_small_chain_(EC_6.3.5.5)_(Carbamoyl-phosphate_synthetase_glutamine_chain)	pyrAA1_carA_CDR20291_3427	6.3.5.5			cdl:CDR20291_3427	
C9YNB1	C9YNB1_CLODR	unreviewed	L-lactate_dehydrogenase_(L-LDH)_(EC_1.1.1.27)	ldh_CDR20291_2070	1.1.1.27			cdl:CDR20291_2070	
