R20291_ref_genome_patric_id	630_comp_genome_1_patric_id
645463.3.peg.1110	272563.8.peg.1264
645463.3.peg.1111	272563.8.peg.1265
645463.3.peg.1112	272563.8.peg.1266
645463.3.peg.1113	272563.8.peg.1267
645463.3.peg.1114	272563.8.peg.1268
645463.3.peg.1115	272563.8.peg.1269
645463.3.peg.124	272563.8.peg.127
645463.3.peg.1116	272563.8.peg.1270
645463.3.peg.1117	272563.8.peg.1271
645463.3.peg.1118	272563.8.peg.1272
645463.3.peg.1119	272563.8.peg.1273
645463.3.peg.1120	272563.8.peg.1274
645463.3.peg.1121	272563.8.peg.1275
645463.3.peg.1122	272563.8.peg.1276
645463.3.peg.1123	272563.8.peg.1277
645463.3.peg.1124	272563.8.peg.1278
645463.3.peg.1125	272563.8.peg.1279
645463.3.peg.125	272563.8.peg.128
645463.3.peg.1126	272563.8.peg.1280
645463.3.peg.1127	272563.8.peg.1281
645463.3.peg.1128	272563.8.peg.1282
645463.3.peg.1129	272563.8.peg.1283
645463.3.peg.1130	272563.8.peg.1284
645463.3.peg.1131	272563.8.peg.1285
645463.3.peg.1132	272563.8.peg.1286
645463.3.peg.1133	272563.8.peg.1287
645463.3.peg.1134	272563.8.peg.1288
645463.3.peg.1135	272563.8.peg.1289
645463.3.peg.126	272563.8.peg.129
645463.3.peg.1136	272563.8.peg.1290
645463.3.peg.1137	272563.8.peg.1291
645463.3.peg.1138	272563.8.peg.1292
645463.3.peg.1142	272563.8.peg.1293
645463.3.peg.1143	272563.8.peg.1294
645463.3.peg.1144	272563.8.peg.1295
645463.3.peg.1146	272563.8.peg.1296
645463.3.peg.1147	272563.8.peg.1297
645463.3.peg.1148	272563.8.peg.1298
645463.3.peg.1149	272563.8.peg.1299
645463.3.peg.5	272563.8.peg.13
645463.3.peg.127	272563.8.peg.130
645463.3.peg.1151	272563.8.peg.1301
645463.3.peg.1152	272563.8.peg.1301
645463.3.peg.1153	272563.8.peg.1302
645463.3.peg.1154	272563.8.peg.1303
645463.3.peg.1155	272563.8.peg.1304
645463.3.peg.1156	272563.8.peg.1305
645463.3.peg.1158	272563.8.peg.1306
645463.3.peg.1159	272563.8.peg.1307
645463.3.peg.1160	272563.8.peg.1308
645463.3.peg.1161	272563.8.peg.1309
645463.3.peg.128	272563.8.peg.131
645463.3.peg.1162	272563.8.peg.1310
645463.3.peg.1163	272563.8.peg.1311
645463.3.peg.1164	272563.8.peg.1312
645463.3.peg.1165	272563.8.peg.1313
645463.3.peg.1166	272563.8.peg.1314
645463.3.peg.1167	272563.8.peg.1315
645463.3.peg.1168	272563.8.peg.1316
645463.3.peg.1169	272563.8.peg.1317
645463.3.peg.1170	272563.8.peg.1318
645463.3.peg.1171	272563.8.peg.1319
645463.3.peg.129	272563.8.peg.132
645463.3.peg.1172	272563.8.peg.1320
645463.3.peg.1173	272563.8.peg.1321
645463.3.peg.1174	272563.8.peg.1322
645463.3.peg.1175	272563.8.peg.1323
645463.3.peg.1176	272563.8.peg.1324
645463.3.peg.1177	272563.8.peg.1325
645463.3.peg.1178	272563.8.peg.1326
645463.3.peg.1179	272563.8.peg.1327
645463.3.peg.1180	272563.8.peg.1328
645463.3.peg.1181	272563.8.peg.1329
645463.3.peg.130	272563.8.peg.133
645463.3.peg.1182	272563.8.peg.1330
645463.3.peg.1183	272563.8.peg.1331
645463.3.peg.1184	272563.8.peg.1332
645463.3.peg.1185	272563.8.peg.1333
645463.3.peg.1186	272563.8.peg.1334
645463.3.peg.3241	272563.8.peg.1334
645463.3.peg.1187	272563.8.peg.1335
645463.3.peg.3240	272563.8.peg.1335
645463.3.peg.1188	272563.8.peg.1336
645463.3.peg.1189	272563.8.peg.1337
645463.3.peg.1190	272563.8.peg.1338
645463.3.peg.1191	272563.8.peg.1339
645463.3.peg.131	272563.8.peg.134
645463.3.peg.1192	272563.8.peg.1340
645463.3.peg.1193	272563.8.peg.1341
645463.3.peg.1194	272563.8.peg.1342
645463.3.peg.1195	272563.8.peg.1343
645463.3.peg.1196	272563.8.peg.1344
645463.3.peg.1197	272563.8.peg.1345
645463.3.peg.1198	272563.8.peg.1346
645463.3.peg.1199	272563.8.peg.1347
645463.3.peg.1200	272563.8.peg.1348
645463.3.peg.1201	272563.8.peg.1349
645463.3.peg.132	272563.8.peg.135
645463.3.peg.1202	272563.8.peg.1350
645463.3.peg.1203	272563.8.peg.1351
645463.3.peg.1204	272563.8.peg.1352
645463.3.peg.1205	272563.8.peg.1353
645463.3.peg.1207	272563.8.peg.1354
645463.3.peg.1208	272563.8.peg.1355
645463.3.peg.1209	272563.8.peg.1356
645463.3.peg.1210	272563.8.peg.1357
645463.3.peg.1211	272563.8.peg.1358
645463.3.peg.1212	272563.8.peg.1359
645463.3.peg.133	272563.8.peg.136
645463.3.peg.1213	272563.8.peg.1360
645463.3.peg.1214	272563.8.peg.1361
645463.3.peg.1215	272563.8.peg.1362
645463.3.peg.1216	272563.8.peg.1363
645463.3.peg.1217	272563.8.peg.1364
645463.3.peg.1218	272563.8.peg.1365
645463.3.peg.1219	272563.8.peg.1366
645463.3.peg.1220	272563.8.peg.1367
645463.3.peg.1221	272563.8.peg.1368
645463.3.peg.1222	272563.8.peg.1369
645463.3.peg.134	272563.8.peg.137
645463.3.peg.1223	272563.8.peg.1370
645463.3.peg.1224	272563.8.peg.1371
645463.3.peg.1225	272563.8.peg.1372
645463.3.peg.1226	272563.8.peg.1373
645463.3.peg.1227	272563.8.peg.1374
645463.3.peg.1228	272563.8.peg.1375
645463.3.peg.1229	272563.8.peg.1376
645463.3.peg.1230	272563.8.peg.1377
645463.3.peg.1231	272563.8.peg.1378
645463.3.peg.135	272563.8.peg.138
645463.3.peg.1232	272563.8.peg.1381
645463.3.peg.1233	272563.8.peg.1382
645463.3.peg.1234	272563.8.peg.1383
645463.3.peg.1235	272563.8.peg.1384
645463.3.peg.1236	272563.8.peg.1385
645463.3.peg.1237	272563.8.peg.1386
645463.3.peg.1238	272563.8.peg.1387
645463.3.peg.1239	272563.8.peg.1388
645463.3.peg.1240	272563.8.peg.1389
645463.3.peg.136	272563.8.peg.139
645463.3.peg.1241	272563.8.peg.1390
645463.3.peg.1242	272563.8.peg.1391
645463.3.peg.1243	272563.8.peg.1392
645463.3.peg.1244	272563.8.peg.1393
645463.3.peg.1245	272563.8.peg.1394
645463.3.peg.1246	272563.8.peg.1395
645463.3.peg.1247	272563.8.peg.1396
645463.3.peg.1248	272563.8.peg.1397
645463.3.peg.1249	272563.8.peg.1398
645463.3.peg.1250	272563.8.peg.1399
645463.3.peg.6	272563.8.peg.14
645463.3.peg.137	272563.8.peg.140
645463.3.peg.1251	272563.8.peg.1400
645463.3.peg.1252	272563.8.peg.1401
645463.3.peg.1253	272563.8.peg.1402
645463.3.peg.1254	272563.8.peg.1403
645463.3.peg.1255	272563.8.peg.1404
645463.3.peg.1256	272563.8.peg.1405
645463.3.peg.1257	272563.8.peg.1406
645463.3.peg.1258	272563.8.peg.1407
645463.3.peg.1259	272563.8.peg.1408
645463.3.peg.1260	272563.8.peg.1409
645463.3.peg.138	272563.8.peg.141
645463.3.peg.1261	272563.8.peg.1410
645463.3.peg.1262	272563.8.peg.1411
645463.3.peg.1263	272563.8.peg.1412
645463.3.peg.1264	272563.8.peg.1413
645463.3.peg.1265	272563.8.peg.1414
645463.3.peg.1266	272563.8.peg.1415
645463.3.peg.1267	272563.8.peg.1416
645463.3.peg.1268	272563.8.peg.1417
645463.3.peg.1269	272563.8.peg.1418
645463.3.peg.1270	272563.8.peg.1419
645463.3.peg.139	272563.8.peg.142
645463.3.peg.1271	272563.8.peg.1420
645463.3.peg.1272	272563.8.peg.1421
645463.3.peg.1273	272563.8.peg.1422
645463.3.peg.1274	272563.8.peg.1423
645463.3.peg.1275	272563.8.peg.1424
645463.3.peg.1276	272563.8.peg.1425
645463.3.peg.1277	272563.8.peg.1426
645463.3.peg.1498	272563.8.peg.1426
645463.3.peg.1278	272563.8.peg.1427
645463.3.peg.1500	272563.8.peg.1427
645463.3.peg.1279	272563.8.peg.1428
645463.3.peg.1280	272563.8.peg.1429
645463.3.peg.140	272563.8.peg.143
645463.3.peg.1281	272563.8.peg.1430
645463.3.peg.1282	272563.8.peg.1431
645463.3.peg.1283	272563.8.peg.1432
645463.3.peg.1284	272563.8.peg.1433
645463.3.peg.1285	272563.8.peg.1434
645463.3.peg.1286	272563.8.peg.1435
645463.3.peg.1287	272563.8.peg.1436
645463.3.peg.1288	272563.8.peg.1437
645463.3.peg.1289	272563.8.peg.1438
645463.3.peg.1290	272563.8.peg.1439
645463.3.peg.141	272563.8.peg.144
645463.3.peg.1291	272563.8.peg.1440
645463.3.peg.1292	272563.8.peg.1441
645463.3.peg.1293	272563.8.peg.1442
645463.3.peg.1294	272563.8.peg.1443
645463.3.peg.1295	272563.8.peg.1444
645463.3.peg.1296	272563.8.peg.1445
645463.3.peg.1297	272563.8.peg.1446
645463.3.peg.1298	272563.8.peg.1447
645463.3.peg.1299	272563.8.peg.1448
645463.3.peg.1300	272563.8.peg.1449
645463.3.peg.142	272563.8.peg.145
645463.3.peg.1301	272563.8.peg.1450
645463.3.peg.1302	272563.8.peg.1451
645463.3.peg.1303	272563.8.peg.1452
645463.3.peg.1304	272563.8.peg.1453
645463.3.peg.1305	272563.8.peg.1454
645463.3.peg.1306	272563.8.peg.1455
645463.3.peg.1307	272563.8.peg.1456
645463.3.peg.1308	272563.8.peg.1457
645463.3.peg.1309	272563.8.peg.1458
645463.3.peg.1310	272563.8.peg.1459
645463.3.peg.143	272563.8.peg.146
645463.3.peg.1311	272563.8.peg.1460
645463.3.peg.1312	272563.8.peg.1461
645463.3.peg.1313	272563.8.peg.1462
645463.3.peg.1314	272563.8.peg.1463
645463.3.peg.1315	272563.8.peg.1464
645463.3.peg.1316	272563.8.peg.1465
645463.3.peg.1317	272563.8.peg.1466
645463.3.peg.1318	272563.8.peg.1467
645463.3.peg.1319	272563.8.peg.1468
645463.3.peg.1320	272563.8.peg.1469
645463.3.peg.144	272563.8.peg.147
645463.3.peg.1321	272563.8.peg.1470
645463.3.peg.1322	272563.8.peg.1471
645463.3.peg.1323	272563.8.peg.1472
645463.3.peg.1324	272563.8.peg.1473
645463.3.peg.1325	272563.8.peg.1474
645463.3.peg.1326	272563.8.peg.1475
645463.3.peg.1327	272563.8.peg.1476
645463.3.peg.1328	272563.8.peg.1477
645463.3.peg.1329	272563.8.peg.1478
645463.3.peg.1330	272563.8.peg.1479
645463.3.peg.145	272563.8.peg.148
645463.3.peg.1331	272563.8.peg.1480
645463.3.peg.1332	272563.8.peg.1481
645463.3.peg.1333	272563.8.peg.1482
645463.3.peg.1334	272563.8.peg.1483
645463.3.peg.1335	272563.8.peg.1484
645463.3.peg.1336	272563.8.peg.1485
645463.3.peg.1337	272563.8.peg.1486
645463.3.peg.1338	272563.8.peg.1487
645463.3.peg.1339	272563.8.peg.1488
645463.3.peg.1340	272563.8.peg.1489
645463.3.peg.146	272563.8.peg.149
645463.3.peg.1341	272563.8.peg.1490
645463.3.peg.1344	272563.8.peg.1491
645463.3.peg.1345	272563.8.peg.1492
645463.3.peg.1346	272563.8.peg.1493
645463.3.peg.1347	272563.8.peg.1494
645463.3.peg.1348	272563.8.peg.1495
645463.3.peg.1349	272563.8.peg.1496
645463.3.peg.1350	272563.8.peg.1497
645463.3.peg.1351	272563.8.peg.1498
645463.3.peg.1352	272563.8.peg.1499
645463.3.peg.7	272563.8.peg.15
645463.3.peg.147	272563.8.peg.150
645463.3.peg.1353	272563.8.peg.1500
645463.3.peg.1354	272563.8.peg.1501
645463.3.peg.1357	272563.8.peg.1502
645463.3.peg.1358	272563.8.peg.1503
645463.3.peg.1359	272563.8.peg.1504
645463.3.peg.1360	272563.8.peg.1505
645463.3.peg.1361	272563.8.peg.1506
645463.3.peg.1362	272563.8.peg.1507
645463.3.peg.1363	272563.8.peg.1508
645463.3.peg.1364	272563.8.peg.1509
645463.3.peg.148	272563.8.peg.151
645463.3.peg.1365	272563.8.peg.1510
645463.3.peg.1366	272563.8.peg.1511
645463.3.peg.1367	272563.8.peg.1512
645463.3.peg.1368	272563.8.peg.1513
645463.3.peg.1369	272563.8.peg.1514
645463.3.peg.1370	272563.8.peg.1515
645463.3.peg.1371	272563.8.peg.1516
645463.3.peg.1372	272563.8.peg.1517
645463.3.peg.1373	272563.8.peg.1518
645463.3.peg.1374	272563.8.peg.1519
645463.3.peg.149	272563.8.peg.152
645463.3.peg.1375	272563.8.peg.1520
645463.3.peg.1376	272563.8.peg.1521
645463.3.peg.1377	272563.8.peg.1522
645463.3.peg.1378	272563.8.peg.1523
645463.3.peg.1379	272563.8.peg.1524
645463.3.peg.1380	272563.8.peg.1525
645463.3.peg.1381	272563.8.peg.1526
645463.3.peg.1382	272563.8.peg.1527
645463.3.peg.1383	272563.8.peg.1528
645463.3.peg.1384	272563.8.peg.1529
645463.3.peg.150	272563.8.peg.153
645463.3.peg.1385	272563.8.peg.1530
645463.3.peg.1386	272563.8.peg.1531
645463.3.peg.1387	272563.8.peg.1532
645463.3.peg.1388	272563.8.peg.1533
645463.3.peg.1389	272563.8.peg.1534
645463.3.peg.1390	272563.8.peg.1535
645463.3.peg.922	272563.8.peg.1536
645463.3.peg.1391	272563.8.peg.1536
645463.3.peg.923	272563.8.peg.1537
645463.3.peg.1392	272563.8.peg.1537
645463.3.peg.924	272563.8.peg.1538
645463.3.peg.1393	272563.8.peg.1538
645463.3.peg.925	272563.8.peg.1539
645463.3.peg.1394	272563.8.peg.1539
645463.3.peg.151	272563.8.peg.154
645463.3.peg.1395	272563.8.peg.1540
645463.3.peg.1396	272563.8.peg.1541
645463.3.peg.1397	272563.8.peg.1542
645463.3.peg.1398	272563.8.peg.1543
645463.3.peg.1399	272563.8.peg.1544
645463.3.peg.1400	272563.8.peg.1545
645463.3.peg.1401	272563.8.peg.1546
645463.3.peg.1403	272563.8.peg.1547
645463.3.peg.1404	272563.8.peg.1549
645463.3.peg.152	272563.8.peg.155
645463.3.peg.1405	272563.8.peg.1550
645463.3.peg.1406	272563.8.peg.1551
645463.3.peg.1407	272563.8.peg.1552
645463.3.peg.1408	272563.8.peg.1553
645463.3.peg.1409	272563.8.peg.1554
645463.3.peg.1410	272563.8.peg.1555
645463.3.peg.1411	272563.8.peg.1556
645463.3.peg.1412	272563.8.peg.1557
645463.3.peg.1413	272563.8.peg.1558
645463.3.peg.1414	272563.8.peg.1559
645463.3.peg.153	272563.8.peg.156
645463.3.peg.1415	272563.8.peg.1560
645463.3.peg.1417	272563.8.peg.1561
645463.3.peg.1418	272563.8.peg.1562
645463.3.peg.1419	272563.8.peg.1563
645463.3.peg.1420	272563.8.peg.1564
645463.3.peg.1421	272563.8.peg.1565
645463.3.peg.1422	272563.8.peg.1566
645463.3.peg.1423	272563.8.peg.1567
645463.3.peg.1424	272563.8.peg.1568
645463.3.peg.1425	272563.8.peg.1569
645463.3.peg.154	272563.8.peg.157
645463.3.peg.1426	272563.8.peg.1570
645463.3.peg.1427	272563.8.peg.1573
645463.3.peg.1428	272563.8.peg.1574
645463.3.peg.1429	272563.8.peg.1575
645463.3.peg.1430	272563.8.peg.1576
645463.3.peg.1431	272563.8.peg.1577
645463.3.peg.1432	272563.8.peg.1578
645463.3.peg.1434	272563.8.peg.1579
645463.3.peg.155	272563.8.peg.158
645463.3.peg.1435	272563.8.peg.1580
645463.3.peg.1436	272563.8.peg.1581
645463.3.peg.1437	272563.8.peg.1582
645463.3.peg.1438	272563.8.peg.1583
645463.3.peg.1439	272563.8.peg.1584
645463.3.peg.1440	272563.8.peg.1585
645463.3.peg.1441	272563.8.peg.1586
645463.3.peg.1442	272563.8.peg.1587
645463.3.peg.1443	272563.8.peg.1588
645463.3.peg.1444	272563.8.peg.1589
645463.3.peg.156	272563.8.peg.159
645463.3.peg.1445	272563.8.peg.1591
645463.3.peg.1446	272563.8.peg.1592
645463.3.peg.1447	272563.8.peg.1593
645463.3.peg.1448	272563.8.peg.1594
645463.3.peg.1449	272563.8.peg.1595
645463.3.peg.1450	272563.8.peg.1596
645463.3.peg.1451	272563.8.peg.1597
645463.3.peg.1452	272563.8.peg.1598
645463.3.peg.1453	272563.8.peg.1599
645463.3.peg.8	272563.8.peg.16
645463.3.peg.157	272563.8.peg.160
645463.3.peg.1454	272563.8.peg.1600
645463.3.peg.1455	272563.8.peg.1601
645463.3.peg.1456	272563.8.peg.1602
645463.3.peg.1457	272563.8.peg.1603
645463.3.peg.1458	272563.8.peg.1604
645463.3.peg.1459	272563.8.peg.1605
645463.3.peg.1460	272563.8.peg.1606
645463.3.peg.1461	272563.8.peg.1607
645463.3.peg.2925	272563.8.peg.1607
645463.3.peg.1462	272563.8.peg.1608
645463.3.peg.3238	272563.8.peg.1608
645463.3.peg.1463	272563.8.peg.1609
645463.3.peg.3239	272563.8.peg.1609
645463.3.peg.158	272563.8.peg.161
